close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
125.84,126.6,125.15,126.6,17804286,125.84,126.6,125.15,126.6,17804286,0.0,1.0
126.12,126.22,125.1,125.6,14200636,126.12,126.22,125.1,125.6,14200636,0.0,1.0
126.17,126.63,125.6,126.38,13536125,126.17,126.63,125.6,126.38,13536125,0.0,1.0
126.51,126.86,126.0,126.85,12118773,126.51,126.86,126.0,126.85,12118773,0.0,1.0
129.73,129.94,126.47,126.67,26278407,129.73,129.94,126.47,126.67,26278407,0.0,1.0
131.05,131.98,129.95,130.04,27990796,131.05,131.98,129.95,130.04,27990796,0.0,1.0
130.27,131.08,129.81,130.92,15676595,130.27,131.08,129.81,130.92,15676595,0.0,1.0
127.1,129.949,127.1,129.71,27100679,127.1,129.949,127.1,129.71,27100679,0.0,1.0
128.69,128.76,125.75,125.96,21252752,128.69,128.76,125.75,125.96,21252752,0.0,1.0
127.21,128.35,126.66,128.03,18016152,127.21,128.35,126.66,128.03,18016152,0.0,1.0
127.77,128.8,126.89,126.89,15720388,127.77,128.8,126.89,126.89,15720388,0.0,1.0
128.35,129.1,127.67,127.98,15111838,128.35,129.1,127.67,127.98,15111838,0.0,1.0
129.07,129.18,128.2,128.2,24119174,129.07,129.18,128.2,128.2,24119174,0.0,1.0
128.65,129.94,128.26,129.91,14958794,128.65,129.94,128.26,129.91,14958794,0.0,1.0
128.64,129.17,128.0307,128.65,11083808,128.64,129.17,128.0307,128.65,11083808,0.0,1.0
129.94,130.005,128.39,129.13,14068336,129.94,130.005,128.39,129.13,14068336,0.0,1.0
130.08,130.73,129.56,130.5,15538307,130.08,130.73,129.56,130.5,15538307,0.0,1.0
127.96,128.6,127.3,127.56,28326266,127.96,128.6,127.3,127.56,28326266,0.0,1.0
127.31,128.16,126.8,127.37,15064940,127.31,128.16,126.8,127.37,15064940,0.0,1.0
128.69,129.01,127.43,127.61,15637111,128.69,129.01,127.43,127.61,15637111,0.0,1.0
129.23,129.47,128.4,129.21,12047636,129.23,129.47,128.4,129.21,12047636,0.0,1.0
128.09,129.29,127.55,129.18,14532241,128.09,129.29,127.55,129.18,14532241,0.0,1.0
128.27,128.59,127.45,128.03,18402945,128.27,128.59,127.45,128.03,18402945,0.0,1.0
128.77,129.09,127.8,128.38,13156943,128.77,129.09,127.8,128.38,13156943,0.0,1.0
128.19,129.2765,127.5499,129.17,14307548,128.19,129.2765,127.5499,129.17,14307548,0.0,1.0
128.47,128.8,127.83,128.25,12386753,128.47,128.8,127.83,128.25,12386753,0.0,1.0
128.74,129.06,128.08,128.43,11682729,128.74,129.06,128.08,128.43,11682729,0.0,1.0
128.99,129.25,128.33,129.04,12804420,128.99,129.25,128.33,129.04,12804420,0.0,1.0
130.24,130.7,129.2,129.68,15138720,130.24,130.7,129.2,129.68,15138720,0.0,1.0
128.88,130.64,128.23,130.23,17537928,128.88,130.64,128.23,130.23,17537928,0.0,1.0
129.05,129.66,128.46,129.01,11072991,129.05,129.66,128.46,129.01,11072991,0.0,1.0
127.82,128.25,126.75,128.21,17139306,127.82,128.25,126.75,128.21,17139306,0.0,1.0
127.88,128.95,127.58,128.49,13345292,127.88,128.95,127.58,128.49,13345292,0.0,1.0
127.54,128.47,127.32,128.2,11351681,127.54,128.47,127.32,128.2,11351681,0.0,1.0
128.57,129.39,128.01,128.68,13503967,128.57,129.39,128.01,128.68,13503967,0.0,1.0
130.11,130.47,128.6,128.74,16752321,130.11,130.47,128.6,128.74,16752321,0.0,1.0
130.0,130.66,129.5,130.07,13167503,130.0,130.66,129.5,130.07,13167503,0.0,1.0
132.07,132.13,129.7,129.78,19088794,132.07,132.13,129.7,129.78,19088794,0.0,1.0
133.28,133.405,132.15,132.72,17470227,133.28,133.405,132.15,132.72,17470227,0.0,1.0
132.29,133.5,132.22,133.5,13336787,132.29,133.5,132.22,133.5,13336787,0.0,1.0
131.04,132.26,130.935,131.64,13084731,131.04,132.26,130.935,131.64,13084731,0.0,1.0
129.69,131.8,129.27,131.74,16741393,129.69,131.8,129.27,131.74,16741393,0.0,1.0
131.29,132.97,129.93,130.5,24545547,131.29,132.97,129.93,130.5,24545547,0.0,1.0
130.99,132.12,130.8835,132.01,15668982,130.99,132.12,130.8835,132.01,15668982,0.0,1.0
129.5,131.94,128.65,131.41,22077779,129.5,131.94,128.65,131.41,22077779,0.0,1.0
127.17,130.23,126.28,130.23,50190225,127.17,130.23,126.28,130.23,50190225,0.0,1.0
120.0,123.28,119.5,122.0,63766259,120.0,123.28,119.5,122.0,63766259,0.0,1.0
120.75,121.93,119.25,119.59,30545466,120.75,121.93,119.25,119.59,30545466,0.0,1.0
122.15,123.2089,121.35,122.83,23008880,122.15,123.2089,121.35,122.83,23008880,0.0,1.0
124.22,124.61,121.54,122.03,19460768,124.22,124.61,121.54,122.03,19460768,0.0,1.0
123.18,123.81,120.51,121.5,31916020,123.18,123.81,120.51,121.5,31916020,0.0,1.0
120.8,124.18,115.27,123.93,67846704,120.8,124.18,115.27,123.93,67846704,0.0,1.0
119.02,120.7,118.15,119.53,32840137,119.02,120.7,118.15,119.53,32840137,0.0,1.0
115.08,119.1256,113.5535,119.1256,51377040,115.08,119.1256,113.5535,119.1256,51377040,0.0,1.0
117.2,118.49,115.83,116.73,34681369,117.2,118.49,115.83,116.73,34681369,0.0,1.0
116.34,117.88,114.21,114.48,32397947,116.34,117.88,114.21,114.48,32397947,0.0,1.0
117.79,117.79,116.01,116.81,18597766,117.79,117.79,116.01,116.81,18597766,0.0,1.0
117.02,119.13,116.84,118.39,22879303,117.02,119.13,116.84,118.39,22879303,0.0,1.0
121.77,121.95,117.8,118.2,35415366,121.77,121.95,117.8,118.2,35415366,0.0,1.0
121.47,122.98,120.9,122.4,26089163,121.47,122.98,120.9,122.4,26089163,0.0,1.0
